ordem,faixa,tipo,inicio_s,fim_s,duracao_s,ficheiro,caminho_original,encontrado,caminho_disco,in_s,out_s,movimento,transicao,transicao_s,texto_ecra,largura,altura,resolucao_ok
233,video,foto,669.371,674.371,5.0,DSC02999.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\DSC02999.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\DSC02999.JPG,,,Zoom in,Crossfade,1.5,,3000,4000,Sim
234,video,foto,672.871,678.871,6.0,IMG_9013.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_9013.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_9013.JPG,,,Zoom in,Crossfade,1.5,,2281,2687,Sim
235,texto,cartao,674.408,677.408,3.0,,,,,,,,,,E da Faculdade,,,
236,video,foto,677.371,683.371,6.0,21-1.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-1.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-1.JPG,,,Zoom in,Crossfade,1.5,,2944,3000,Sim
237,texto,cartao,678.986,681.986,3.0,,,,,,,,,,Com as amigas de sempre,,,
238,video,foto,681.871,688.871,7.0,21-45-10.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-10.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-10.jpg,,,Nenhum,Crossfade,1.5,,1185,803,Nao
239,video,foto,687.371,695.371,8.0,21-45-11.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-11.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-11.jpg,,,Nenhum,Crossfade,1.5,,1188,795,Nao
240,texto,cartao,689.029,694.029,5.0,,,,,,,,,,Farmácia vs Direito vs Bioquímica vs Engenharia,,,
241,video,cartao,695.371,700.371,5.0,,,,,,,,,,,,,
242,texto,cartao,695.371,700.371,5.0,,,,,,,,,,Colegas de trabalho,,,
243,video,foto,700.371,706.371,6.0,21-45-16.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-16.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-16.jpeg,,,Zoom in,,,,1280,554,Sim
244,video,foto,704.871,710.871,6.0,200_ML_FestaNatal2022.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\200_ML_FestaNatal2022.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\200_ML_FestaNatal2022.jpg,,,Nenhum,Crossfade,1.5,,256,171,Nao
245,video,foto,709.371,714.371,5.0,content.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\content.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\content.jpg,,,Zoom in,Crossfade,1.5,,1280,1280,Sim
246,video,foto,712.871,717.871,5.0,content5.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\content5.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\content5.jpg,,,Zoom in,Crossfade,1.5,,1280,1279,Sim
247,video,foto,716.371,722.371,6.0,499_ML_FestaNatal2024.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\499_ML_FestaNatal2024.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\499_ML_FestaNatal2024.jpg,,,Zoom in,Crossfade,1.5,,256,171,Nao
248,video,foto,720.871,725.871,5.0,IMG_1475.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_1475.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_1475.jpeg,,,Nenhum,Crossfade,1.5,,1280,960,Sim
249,video,foto,724.371,731.371,7.0,21-45-17.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-17.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-17.jpeg,,,Nenhum,Crossfade,1.5,,873,1280,Nao
250,video,foto,729.871,736.871,7.0,21-45-18.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-18.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-18.jpeg,,,Zoom in,Crossfade,1.5,,960,1280,Nao
251,texto,cartao,731.319,735.319,4.0,,,,,,,,,,A  verdadeira  Claque do FCP,,,
252,video,foto,735.371,741.371,6.0,IMG_2601.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_2601.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_2601.jpeg,,,Zoom in,Crossfade,1.5,,1280,960,Sim
253,video,foto,739.871,744.871,5.0,WhatsApp Image 2025-10-10 at 14.45.56 (1).jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\WhatsApp Image 2025-10-10 at 14.45.56 (1).jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\WhatsApp Image 2025-10-10 at 14.45.56 (1).jpeg,,,Zoom in,Crossfade,1.5,,960,1280,Nao
254,texto,cartao,741.494,743.464,1.97,,,,,,,,,,A Task Force  de Corporate,,,
255,video,foto,743.371,748.371,5.0,WhatsApp Image 2025-10-10 at 14.45.56.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\WhatsApp Image 2025-10-10 at 14.45.56.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\WhatsApp Image 2025-10-10 at 14.45.56.jpeg,,,Zoom in,Crossfade,1.5,,960,1280,Nao
256,video,foto,746.871,751.871,5.0,IMG_7886.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_7886.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_7886.jpeg,,,Nenhum,Crossfade,1.5,,4032,3024,Sim
257,texto,cartao,748.398,750.382,1.984,,,,,,,,,,Hora de almoço,,,
258,video,foto,750.371,755.371,5.0,21-45-19.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-19.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-19.jpg,,,Zoom in,Crossfade,1.5,,1180,792,Nao
259,texto,cartao,751.746,753.746,2.0,,,,,,,,,,Com a Inês,,,
260,video,foto,753.871,758.871,5.0,448_ML_FestaNatal2024.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\448_ML_FestaNatal2024.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\448_ML_FestaNatal2024.jpg,,,Zoom in,Crossfade,1.5,,256,170,Nao
261,texto,cartao,755.371,757.201,1.829,,,,,,,,,,Com a Francisca,,,
262,video,foto,757.371,761.371,4.0,b0773331-cf53-4b1c-bb33-9cbe08cb4031.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\b0773331-cf53-4b1c-bb33-9cbe08cb4031.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\b0773331-cf53-4b1c-bb33-9cbe08cb4031.jpeg,,,Zoom in,Crossfade,1.5,,960,1280,Nao
263,video,cartao,761.371,768.371,7.0,,,,,,,,,,,,,
264,texto,cartao,761.548,768.548,7.0,,,,,,,,,,Tiago,,,
265,musica,musica,761.608,768.688,7.08,Paris Filmes Reversed.MP3,C:\Users\Rosa Moreira\Music\Paris Filmes Reversed.MP3,Nao,,3.27,10.35,,,,,0,0,
266,video,cartao,768.371,777.371,9.0,,,,,,,,,,,,,
267,texto,cartao,768.564,776.064,7.5,,,,,,,,,,"Era uma vez  um menino loiro,  de olhos azuis, que também nasceu  em 1995.",,,
268,musica,musica,768.688,776.188,7.5,Candidato a vereador.mp3,C:\Users\Rosa Moreira\Music\Vídeo Anos Clara\Candidato a vereador.mp3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Candidato a vereador.mp3,173.82,181.32,,,,,0,0,
269,video,foto,775.871,782.871,7.0,21-46.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-46.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-46.jpg,,,Zoom in,Crossfade,1.5,,533,720,Nao
270,musica,musica,776.178,811.098,34.92,aleluia.mp3,C:\Users\Rosa Moreira\Music\aleluia.mp3,Nao,,184.17,219.09,,,,,0,0,
271,texto,cartao,777.562,781.548,3.987,,,,,,,,,,Foi o  segundo filho,,,
272,video,foto,781.371,788.371,7.0,21-47.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-47.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-47.jpg,,,Zoom in,Crossfade,1.5,,785,1181,Nao
273,texto,cartao,783.009,787.009,4.0,,,,,,,,,,E era amoroso,,,
274,video,foto,786.871,793.871,7.0,21-48.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-48.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-48.jpg,,,Zoom in,Crossfade,1.5,,698,578,Nao
275,texto,cartao,788.538,792.538,4.0,,,,,,,,,,"Com a mãe, o mano e as primas.",,,
276,video,foto,792.371,797.371,5.0,21-49.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49.jpg,,,Zoom in,Crossfade,1.5,,1248,818,Nao
277,texto,cartao,794.181,796.907,2.725,,,,,,,,,,E com o pai,,,
278,video,foto,795.871,800.871,5.0,21-49-2.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-2.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-2.jpg,,,Zoom in,Crossfade,1.5,,638,826,Nao
279,texto,cartao,797.568,799.568,2.0,,,,,,,,,,Com a avó Orquídia,,,
280,video,foto,799.371,805.371,6.0,21-49-3.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-3.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-3.jpg,,,Zoom in,Crossfade,1.5,,1192,747,Nao
281,texto,cartao,801.067,804.067,3.0,,,,,,,,,,Primeiro aniversário.  O pai faz anos no mesmo dia.,,,
282,video,foto,803.871,808.871,5.0,21-49-4.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-4.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-4.jpg,,,Zoom in,Crossfade,1.5,,612,554,Nao
283,texto,cartao,805.679,807.679,2.0,,,,,,,,,,Segundo aniversário,,,
284,video,foto,807.371,812.371,5.0,21-49-11.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-11.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-11.jpg,,,Zoom in,Crossfade,1.5,,1237,805,Nao
285,texto,cartao,808.996,810.996,2.0,,,,,,,,,,Terceiro aniversário,,,
286,video,foto,810.871,815.871,5.0,21-49-6.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-6.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-6.jpg,,,Zoom in,Crossfade,1.5,,1208,795,Nao
287,musica,musica,811.026,953.406,142.38,Tiago Celebration Song (Reggae).mp3,C:\Users\Rosa Moreira\Music\Tiago Celebration Song (Reggae).mp3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Tiago Celebration Song (Reggae).mp3,0.81,143.19,,,,,0,0,
288,texto,cartao,812.551,814.551,2.0,,,,,,,,,,Em Portugal dos Pequeninos,,,
289,video,foto,814.371,819.371,5.0,21-49-8.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-8.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-8.jpg,,,Zoom in,Crossfade,1.5,,766,805,Nao
290,video,foto,817.871,822.871,5.0,21-49-10.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-10.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-10.jpg,,,Zoom in,Crossfade,1.5,,613,803,Nao
291,video,foto,821.371,826.371,5.0,21-49-12.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-12.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-12.jpg,,,Zoom in,Crossfade,1.5,,2480,3508,Sim
292,texto,cartao,823.043,825.043,2.0,,,,,,,,,,Adolescência,,,
293,video,foto,824.871,829.871,5.0,21-49-13 - Cópia - Cópia.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-13 - Cópia - Cópia.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-13 - Cópia - Cópia.JPG,,,Nenhum,Crossfade,1.5,,3072,2304,Sim
294,video,foto,828.371,833.371,5.0,21-49-15.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-15.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-15.JPG,,,Zoom in,Crossfade,1.5,,706,1091,Nao
295,texto,cartao,830.131,832.131,2.0,,,,,,,,,,Adepto  do FCP,,,
296,video,foto,831.871,836.871,5.0,21-49-18.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-18.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-18.JPG,,,Zoom in,Crossfade,1.5,,1028,1832,Nao
297,texto,cartao,833.624,835.624,2.0,,,,,,,,,,Apreciador  de música,,,
298,video,foto,835.371,840.371,5.0,21-49-21.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-21.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-21.JPG,,,Zoom in,Crossfade,1.5,,5184,3456,Sim
299,video,foto,838.871,845.871,7.0,21-49-20.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-20.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-20.JPG,,,Zoom in,Crossfade,1.5,,5184,3456,Sim
300,texto,cartao,840.553,844.548,3.996,,,,,,,,,,De café...  (No Majestic),,,
301,video,foto,844.371,849.371,5.0,IMG_4601(7).jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_4601(7).jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_4601(7).jpg,,,Zoom in,Crossfade,1.5,,4608,3456,Sim
302,texto,cartao,846.081,848.048,1.968,,,,,,,,,,... De cerveja,,,
303,video,foto,847.871,855.371,7.5,21-49-16.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-16.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-16.JPG,,,Zoom in,Crossfade,1.5,,3380,3456,Sim
304,texto,cartao,849.563,854.063,4.5,,,,,,,,,,É um rapaz ponderado e cedo  aprendeu a fazer contas à vida  (quis ser Economista)...,,,
305,video,foto,853.871,859.871,6.0,21-49-19.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-19.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-19.JPG,,,Zoom in,Crossfade,1.5,,1280,718,Sim
306,texto,cartao,855.624,858.624,3.0,,,,,,,,,,Mas é  o primeiro  a alinhar  nas brincadeiras,,,
307,video,foto,858.371,863.371,5.0,Porto (10).JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\Porto (10).JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\Porto (10).JPG,,,Zoom in,Crossfade,1.5,,1280,1280,Sim
308,video,foto,861.871,867.871,6.0,21-49-30.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-30.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-30.JPG,,,Zoom in,Crossfade,1.5,,719,1280,Nao
309,texto,cartao,863.509,866.509,3.0,,,,,,,,,,Explicando  que o 1.º rei  de Portugal  não era  Afonso...,,,
310,video,foto,866.371,872.371,6.0,21-49-31.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-31.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-31.JPG,,,Zoom in,Crossfade,1.5,,1280,719,Sim
311,texto,cartao,868.067,871.067,3.0,,,,,,,,,,Vendo o mundo de pernas p'ró ar,,,
312,video,foto,870.871,875.871,5.0,21-49-32.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-32.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-32.JPG,,,Zoom in,Crossfade,1.5,,1280,719,Sim
313,video,foto,874.371,879.371,5.0,21-49-38.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-38.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-38.JPG,,,Zoom in,Crossfade,1.5,,720,1280,Nao
314,video,foto,877.871,881.871,4.0,WP_20150912_18_28_43_Pro.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\WP_20150912_18_28_43_Pro.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\WP_20150912_18_28_43_Pro.jpg,,,Zoom in,Crossfade,1.5,,1077,1918,Nao
315,video,foto,880.371,885.371,5.0,21-49-33.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-33.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-33.JPG,,,Zoom in,Crossfade,1.5,,1024,768,Nao
316,video,foto,883.871,889.871,6.0,21-49-22.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-22.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-22.JPG,,,Zoom in,Crossfade,1.5,,1280,718,Sim
317,texto,cartao,885.976,888.709,2.734,,,,,,,,,,Com o irmão na praxe do... pai.,,,
318,video,foto,888.371,894.371,6.0,21-49-23.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-23.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-23.JPG,,,Zoom in,Crossfade,1.5,,1280,718,Sim
319,texto,cartao,890.601,893.343,2.742,,,,,,,,,,Desejando boa sorte ao pai  Finalista,,,
320,video,foto,892.871,897.871,5.0,21-49-24.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-24.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-24.JPG,,,Zoom in,Crossfade,1.5,,1280,718,Sim
321,texto,cartao,894.976,896.976,2.0,,,,,,,,,,Numa noite de chuva,,,
322,video,foto,896.371,903.371,7.0,21-49-26.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-26.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-26.JPG,,,Nenhum,Crossfade,1.5,,1280,853,Sim
323,texto,cartao,898.533,902.033,3.5,,,,,,,,,,Com a família paterna,,,
324,video,foto,901.871,906.871,5.0,21-49-27.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-27.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-27.JPG,,,Zoom in,Crossfade,1.5,,1280,853,Sim
325,video,foto,905.371,910.371,5.0,21-49-28.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-28.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-28.JPG,,,Zoom in,Crossfade,1.5,,1280,853,Sim
326,texto,cartao,907.421,909.421,2.0,,,,,,,,,,Com o Marco,,,
327,video,foto,908.871,913.871,5.0,21-49-34.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-34.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-34.JPG,,,Zoom in,Crossfade,1.5,,850,1280,Nao
328,texto,cartao,910.957,912.957,2.0,,,,,,,,,,No casamento  da mãe,,,
329,video,foto,912.371,917.371,5.0,21-49-36.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-36.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-36.JPG,,,Zoom in,Crossfade,1.5,,853,1280,Nao
330,texto,cartao,914.33,916.33,2.0,,,,,,,,,,"Com a  primeira  sobrinha,  Matilde.",,,
331,video,foto,915.871,920.871,5.0,IMG_6240.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_6240.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_6240.jpeg,,,Zoom in,Crossfade,1.5,,192,256,Nao
332,texto,cartao,918.049,920.048,1.999,,,,,,,,,,E com o  Miguel,,,
333,video,foto,919.371,924.371,5.0,21-49-40.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-40.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-40.JPG,,,Zoom in,Crossfade,1.5,,1280,853,Sim
334,texto,cartao,921.572,924.296,2.724,,,,,,,,,,Ensaiando uma coreografia  com o irmão,,,
335,video,foto,922.871,927.871,5.0,21-49-41.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-41.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-41.JPG,,,Zoom in,Crossfade,1.5,,1280,853,Sim
336,video,foto,926.371,931.371,5.0,21-49-42.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-42.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-42.JPG,,,Zoom in,Crossfade,1.5,,5184,3456,Sim
337,video,foto,929.871,934.871,5.0,21-49-43.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-43.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-43.JPG,,,Zoom in,Crossfade,1.5,,5184,3456,Sim
338,texto,cartao,932.101,934.101,2.0,,,,,,,,,,Na Assembleia da República,,,
339,video,foto,933.371,938.371,5.0,IMG_0588.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_0588.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_0588.JPG,,,Zoom in,Crossfade,1.5,,3574,3888,Sim
340,texto,cartao,935.555,937.548,1.994,,,,,,,,,,Um dos vários desportos que gosta de praticar,,,
341,video,foto,936.871,941.871,5.0,21-49-45.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-45.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-45.jpeg,,,Zoom in,Crossfade,1.5,,830,1600,Nao
342,texto,cartao,938.866,940.866,2.0,,,,,,,,,,O maratonista,,,
343,video,foto,940.371,946.371,6.0,IMG-20260614-WA0013.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG-20260614-WA0013.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG-20260614-WA0013.jpg,,,Zoom in,Crossfade,1.5,,171,256,Nao
344,video,foto,944.871,950.871,6.0,21-49-46.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-46.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-46.jpg,,,Zoom in,Crossfade,1.5,,5312,2988,Sim
345,texto,cartao,946.991,949.734,2.743,,,,,,,,,,O canoísta,,,
346,video,foto,949.371,954.371,5.0,21-49-47.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-47.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-47.jpeg,,,Zoom in,Crossfade,1.5,,3024,4032,Sim
347,texto,cartao,951.434,953.434,2.0,,,,,,,,,,O pacifista,,,
348,video,foto,952.871,957.871,5.0,21-49-44.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-49-44.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-49-44.JPG,,,Zoom in,Crossfade,1.5,,5184,3456,Sim
