ordem,faixa,tipo,inicio_s,fim_s,duracao_s,ficheiro,caminho_original,encontrado,caminho_disco,in_s,out_s,movimento,transicao,transicao_s,texto_ecra,largura,altura,resolucao_ok
149,texto,cartao,408.391,412.371,3.98,,,,,,,,,,Em Wurzburg (Ponte Alte Mainbrucke);,,,
150,video,foto,412.371,419.371,7.0,21-22.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-22.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-22.jpeg,,,Zoom in,Crossfade,1.5,,1280,960,Sim
151,texto,cartao,413.725,417.705,3.979,,,,,,,,,,"Em Schwangau,  contemplando o Castelo de  Neuschwanstein;",,,
152,video,foto,417.871,422.871,5.0,IMG_4362.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_4362.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_4362.JPG,,,Zoom in,Crossfade,1.5,,1280,960,Sim
153,texto,cartao,419.494,421.494,2.0,,,,,,,,,,Em Frankfurt,,,
154,video,foto,421.371,426.371,5.0,21-21.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-21.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-21.JPG,,,Zoom in,Crossfade,1.5,,1252,1280,Nao
155,texto,cartao,422.78,424.78,2.0,,,,,,,,,,Em Bratislava,,,
156,video,foto,424.871,429.871,5.0,21-25.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-25.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-25.JPG,,,Zoom in,Crossfade,1.5,,1280,960,Sim
157,texto,cartao,426.418,428.418,2.0,,,,,,,,,,"Em Roma, espelho de rua.",,,
158,video,foto,428.371,437.371,9.0,21-23.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-23.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-23.jpg,,,Nenhum,Crossfade,1.5,,864,1712,Nao
159,texto,cartao,429.908,435.908,6.0,,,,,,,,,,Na Fontana  di Trevi. A Anita  Ekberg  portuguesa  do filme La  Dolce Vita.,,,
160,video,foto,435.871,440.871,5.0,21-26.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-26.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-26.JPG,,,Zoom in,Crossfade,1.5,,3648,2736,Sim
161,texto,cartao,437.504,439.504,2.0,,,,,,,,,,Em Florença,,,
162,video,foto,439.371,444.371,5.0,21-28.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-28.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-28.jpeg,,,Zoom in,Crossfade,1.5,,2807,3241,Sim
163,texto,cartao,440.923,442.923,2.0,,,,,,,,,,Em Londres,,,
164,video,foto,442.871,447.871,5.0,21-32.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-32.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-32.jpg,,,Zoom in,Crossfade,1.5,,1125,2000,Nao
165,texto,cartao,444.223,446.223,2.0,,,,,,,,,,Em Nova York,,,
166,video,foto,446.371,454.371,8.0,IMG_3835.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_3835.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_3835.jpg,,,Zoom in,Crossfade,1.5,,4000,3000,Sim
167,texto,cartao,448.033,453.033,5.0,,,,,,,,,,"Em Lanzarote, com Pilar del Río.",,,
168,video,foto,452.871,459.871,7.0,9-24-8.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\9-24-8.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\9-24-8.JPG,,,Zoom in,Crossfade,1.5,,3648,2736,Sim
169,texto,cartao,454.476,458.459,3.983,,,,,,,,,,"Passeia muito, mas está sempre  conectada com o mundo do trabalho.",,,
170,video,foto,458.371,465.371,7.0,9-24-7.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\9-24-7.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\9-24-7.JPG,,,Zoom in,Crossfade,1.5,,1280,960,Sim
171,texto,cartao,459.895,463.895,4.0,,,,,,,,,,"Numa viagem de comboio, em férias.",,,
172,video,foto,463.871,470.871,7.0,IMG_4477.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_4477.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_4477.JPG,,,Zoom in,Crossfade,1.5,,256,192,Nao
173,texto,cartao,465.535,469.535,4.0,,,,,,,,,,"Férias 2026, nas ilhas também  se costuma trabalhar bem...",,,
174,video,foto,469.371,474.371,5.0,21-38.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-38.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-38.jpg,,,Zoom in,Crossfade,1.5,,1280,960,Sim
175,texto,cartao,470.866,472.866,2.0,,,,,,,,,,Caminhadas pelo Parque das  Serras do Porto,,,
176,video,foto,472.871,477.871,5.0,21-39.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-39.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-39.jpg,,,Zoom in,Crossfade,1.5,,1280,963,Sim
177,video,foto,476.371,481.371,5.0,21-41.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-41.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-41.JPG,,,Zoom in,Crossfade,1.5,,3648,2736,Sim
178,video,foto,479.871,484.871,5.0,21-42.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-42.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-42.JPG,,,Zoom in,Crossfade,1.5,,3648,2736,Sim
179,video,foto,483.371,488.371,5.0,21-43.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-43.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-43.JPG,,,Zoom in,Crossfade,1.5,,3648,2736,Sim
180,video,foto,486.871,491.871,5.0,21-44.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-44.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-44.JPG,,,Zoom in,Crossfade,1.5,,3132,2736,Sim
181,video,foto,490.371,495.371,5.0,21-45.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45.JPG,,,Zoom in,Crossfade,1.5,,3648,2736,Sim
182,video,foto,493.871,498.871,5.0,9-24-2.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\9-24-2.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\9-24-2.JPG,,,Zoom in,Crossfade,1.5,,3648,2736,Sim
183,video,cartao,498.871,503.871,5.0,,,,,,,,,,,,,
184,texto,cartao,498.871,502.471,3.6,,,,,,,,,,Família,,,
185,musica,musica,498.932,604.972,106.04,Ed Sheeran - Camera (Official Music Video).MP3,C:\Users\Rosa Moreira\Music\Ed Sheeran - Camera (Official Music Video).MP3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Ed Sheeran - Camera (Official Music Video).MP3,10.0,116.04,,,,,0,0,
186,video,foto,503.871,510.871,7.0,10-1 (2).jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\10-1 (2).jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\Originals\10-1 (2).jpg,,,Nenhum,,,,1203,789,Nao
187,texto,cartao,503.9,509.371,5.472,,,,,,,,,,Com o pai. Era pequenina  e já lhe dava ouras...,,,
188,video,foto,509.371,514.371,5.0,10-2.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\10-2.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\10-2.jpg,,,Zoom in,Crossfade,1.5,,912,730,Nao
189,video,foto,512.871,517.871,5.0,10-4.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\10-4.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\10-4.jpg,,,Zoom in,Crossfade,1.5,,1167,789,Nao
190,video,foto,516.371,521.371,5.0,10-3.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\10-3.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\Originals\10-3.jpg,,,Nenhum,Crossfade,1.5,,484,1071,Nao
191,video,foto,521.371,528.371,7.0,10-5.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\Originals\10-5.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\Originals\10-5.JPG,,,Zoom in,,,,96,72,Nao
192,texto,cartao,521.39,526.871,5.481,,,,,,,,,,"""Pai, põe a mochila, depois levas o skate...""",,,
193,video,foto,526.871,531.871,5.0,11.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11.jpg,,,Zoom in,Crossfade,1.5,,1165,794,Nao
194,texto,cartao,528.512,530.512,2.0,,,,,,,,,,Com a mãe,,,
195,video,foto,530.371,536.371,6.0,69916331_2555139434539758_2920736718019624960_n.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\69916331_2555139434539758_2920736718019624960_n.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\69916331_2555139434539758_2920736718019624960_n.jpg,,,Zoom in,Crossfade,1.5,,256,192,Nao
196,video,foto,534.871,539.871,5.0,11-4.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-4.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-4.JPG,,,Zoom in,Crossfade,1.5,,1215,911,Nao
197,video,foto,538.371,544.371,6.0,11-5.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-5.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-5.jpg,,,Zoom in,Crossfade,1.5,,720,504,Nao
198,texto,cartao,539.762,542.489,2.727,,,,,,,,,,Com o Henrique (o mano),,,
199,video,foto,542.871,547.871,5.0,11-6.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-6.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-6.jpg,,,Zoom in,Crossfade,1.5,,615,911,Nao
200,video,foto,546.371,551.371,5.0,11-7.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-7.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-7.jpg,,,Zoom in,Crossfade,1.5,,551,1178,Nao
201,video,foto,549.871,554.871,5.0,11-8.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-8.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-8.jpg,,,Zoom in,Crossfade,1.5,,610,911,Nao
202,video,foto,553.371,559.371,6.0,11-9.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-9.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-9.jpg,,,Zoom in,Crossfade,1.5,,1227,911,Nao
203,video,foto,557.871,562.871,5.0,11-10.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-10.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-10.JPG,,,Zoom in,Crossfade,1.5,,1280,960,Sim
204,video,foto,562.871,575.371,12.5,11-12.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-12.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-12.JPG,,,Nenhum,,,,1280,960,Sim
205,texto,cartao,562.871,573.871,11.0,,,,,,,,,,"Em Viena:   -Estas sobremesas são bem instagramáveis!   -Demoramos menos tempo a comê-las, do que a         fotografá-las...",,,
206,video,foto,573.871,582.871,9.0,11-13.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-13.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\Originals\11-13.jpg,,,Zoom in,Crossfade,1.5,,256,192,Nao
207,texto,cartao,575.489,583.96,8.471,,,,,,,,,,"-Clara, gostas dessa    canção do Ed Sheeran? -Gosto! -Então não a estragues...",,,
208,video,foto,582.871,591.871,9.0,IMG_4224.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\IMG_4224.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\IMG_4224.JPG,,,Nenhum,,,,256,192,Nao
209,texto,cartao,582.976,589.976,7.0,,,,,,,,,,"O pai: -Clara, já vais outra vez em excesso                             de velocidade! O irmão: -Ela é uma Fora-da-Lei...",,,
210,video,foto,590.371,597.371,7.0,11-14.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-14.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-14.jpg,,,Zoom in,Crossfade,1.5,,1178,755,Nao
211,texto,cartao,591.934,595.934,4.0,,,,,,,,,,Com o mano  e a mãe,,,
212,video,foto,595.871,600.871,5.0,11-15.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-15.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-15.jpg,,,Zoom in,Crossfade,1.5,,802,1194,Nao
213,video,foto,599.371,606.371,7.0,11-20.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\11-20.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\11-20.jpg,,,Zoom in,Crossfade,1.5,,1684,1589,Sim
214,texto,cartao,600.877,603.602,2.725,,,,,,,,,,E com o pai,,,
215,video,foto,604.871,611.871,7.0,21-45-2.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-2.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-2.jpg,,,Zoom in,Crossfade,1.5,,1772,1181,Sim
216,musica,musica,605.031,664.881,59.85,"Migos, KAROL G, Snoop Dogg u0026 Rock Mafia – My Family.mp3","C:\Users\Rosa Moreira\Music\Migos, KAROL G, Snoop Dogg u0026 Rock Mafia – My Family.mp3",Sim,"C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Migos, KAROL G, Snoop Dogg u0026 Rock Mafia – My Family.mp3",6.99,66.84,,,,,0,0,
217,texto,cartao,606.405,609.122,2.716,,,,,,,,,,Com os padrinhos de batismo  e de casamento,,,
218,video,foto,610.371,620.371,10.0,21-45-4.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-4.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-4.jpg,,,Nenhum,Crossfade,1.5,,1699,902,Sim
219,texto,cartao,612.02,619.02,7.0,,,,,,,,,,Com a família materna,,,
220,video,foto,618.871,628.871,10.0,21-45-5.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-5.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-5.JPG,,,Nenhum,Crossfade,1.5,,2111,1380,Sim
221,video,foto,627.371,634.371,7.0,21-45-3.JPG,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-3.JPG,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-3.JPG,,,Zoom in,Crossfade,1.5,,256,192,Nao
222,video,foto,632.871,642.871,10.0,21-45-6.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-6.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-6.jpg,,,Nenhum,Crossfade,1.5,,256,171,Nao
223,texto,cartao,634.387,641.387,7.0,,,,,,,,,,Com a família paterna,,,
224,video,foto,641.371,651.371,10.0,21-45-8.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-8.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-8.jpg,,,Zoom in,Crossfade,1.5,,691,571,Nao
225,texto,cartao,642.715,649.715,7.0,,,,,,,,,,No casamento do primo Filipe,,,
226,video,foto,649.871,659.871,10.0,21-45-9.jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\21-45-9.jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\21-45-9.jpg,,,Zoom in,Crossfade,1.5,,4000,3000,Sim
227,texto,cartao,651.215,660.215,9.0,,,,,,,,,,No 99.º Aniversário da avó  Maria dos Anjos,,,
228,video,cartao,659.871,664.871,5.0,,,,,,,,,,,,,
229,texto,cartao,659.882,664.882,5.0,,,,,,,,,,Amigos e colegas,,,
230,video,foto,664.871,670.871,6.0,WhatsApp Image 2021-11-15 at 18.54.22.jpeg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\WhatsApp Image 2021-11-15 at 18.54.22.jpeg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\WhatsApp Image 2021-11-15 at 18.54.22.jpeg,,,Nenhum,,,,2048,1536,Sim
231,texto,cartao,664.871,668.871,4.0,,,,,,,,,,Com amigos da Secundária...,,,
232,musica,musica,664.931,761.711,96.78,Rina Sawayama - Chosen Family (Lyrics).mp3,C:\Users\Rosa Moreira\Music\Rina Sawayama - Chosen Family (Lyrics).mp3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Rina Sawayama - Chosen Family (Lyrics).mp3,1.89,98.67,,,,,0,0,
