id,ordem,bloco,ficheiro,tipo,pessoa,ano,evento,duracao_s,in_s,out_s,movimento,texto_ecra,resolucao_ok,voto_tiago,voto_clara,nota_tiago,nota_clara,estado
f0118,13,3,21-49-22.JPG,foto,Tiago,2012,Com o irmão na praxe do... pai,4,,,Pan D-E,,Sim,,,,,
f0116,14,3,21-49-20.JPG,foto,Tiago,2012,De café... (No Majestic),4,,,Zoom in,,Sim,,,,,
f0119,15,3,21-49-23.JPG,foto,Tiago,2012,Desejando boa sorte ao pai Finalista,4,,,Pan D-E,,Sim,,,,,
f0114,16,3,21-49-19.JPG,foto,Tiago,2012,Mas é o primeiro a alinhar nas brincad,4,,,Pan E-D,,Sim,,,,,
f0296,17,3,Porto (10).JPG,foto,Tiago,2012,Mas é o primeiro a alinhar nas brincad,4,,,Nenhum,,Sim,,,,,
f0120,18,3,21-49-24.JPG,foto,Tiago,2012,Numa noite de chuva,4,,,Pan E-D,,Sim,,,,,
f0124,19,3,21-49-29.JPG,foto,Tiago,2012,Pilotando um helicóptero,4,,,Zoom out,,Sim,,,,,
f0004,20,3,10-5.JPG,foto,Familia,2013,"""Pai, põe a mochila, depois levas o sk",4,,,Zoom in,,Sim,,,,,
f0017,21,3,10-5.JPG,foto,Familia,2013,"""Pai, põe a mochila, depois levas o sk",4,,,Zoom out,,Sim,,,,,
f0221,22,3,9-2.jpg,foto,Clara,2013,18 anos,4,,,Zoom in,18 anos,Nao,,,,,
f0126,23,3,21-49-30.JPG,foto,Tiago,2013,Explicando que o 1.º rei de Portugal n,4,,,Zoom out,,Sim,,,,,
f0154,24,3,21-5.JPG,foto,Clara,2013,Mas nem tudo é diversão. Estudando na,4,,,Nenhum,,Sim,,,,,
f0345,25,3,2013_Tiago_Familia_Paterna.jpg,foto,Familia,2013,Por classificar,4,,,Zoom out,,Nao,,,,,
f0226,26,3,9-24-5.JPG,foto,Clara,2013,Quando lhe dizem que o FCP vai perder,4,,,Zoom in,,Sim,,,,,
f0129,27,3,21-49-33.JPG,foto,Tiago,2013,"Tiago, 2013",4,,,Zoom out,,Nao,,,,,
f0127,28,3,21-49-31.JPG,foto,Tiago,2013,Vendo o mundo de pernas p'ró ar,4,,,Pan E-D,,Sim,,,,,
f0128,29,3,21-49-32.JPG,foto,Tiago,2013,Vendo o mundo de pernas p'ró ar,4,,,Pan D-E,,Sim,,,,,
f0132,30,3,21-49-38.JPG,foto,Tiago,2013,Vendo o mundo de pernas p'ró ar,4,,,Zoom in,,Nao,,,,,
f0158,1,4,21-53.JPG,foto,Ambos,2011,Festa dos 17 anos da Clara,4,,,Nenhum,,Sim,,,,,
f0155,2,4,21-50.JPG,foto,Ambos,2011,"Na Escola Secundária, com 16 anos",4,,,Zoom in,,Sim,,,,,
f0332,3,4,2011_Tiago_e_clara_aniversario_CLARA_POUCO_ANTES_DE_COMEÇAR_A_NAMORAR.jpg,foto,Ambos,2011,Por classificar,4,,,Zoom out,,Sim,,,,,
f0165,4,4,22-5.JPG,foto,Ambos,2012,"O encontro, 2012",4,,,Zoom in,,Sim,,,,,
