ficheiro,caminho,quando_s,in_s,dura_s,ganho,nota
Ana Faria - Clara.mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Ana Faria - Clara.mp3,0.0,8.0,17.4,1.0,fundo da demo
Tiago Celebration Song (Reggae).mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Tiago Celebration Song (Reggae).mp3,17.4,0.8,12.0,1.0,fundo da demo
