ficheiro,caminho,quando_s,in_s,dura_s,ganho,nota
OS TRIBALISTAS - VELHA INFÂNCIA (INSTRUMENTAL).MP3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\OS TRIBALISTAS - VELHA INFÂNCIA (INSTRUMENTAL).MP3,0.0,6.0,26.6,1.0,fundo da demo
Candidato a vereador.mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Candidato a vereador.mp3,15.6,173.7,6.5,1.0,vinheta dela sobre o cartao
