ficheiro,caminho,quando_s,in_s,dura_s,ganho,nota
Papillon - ¡ N.M.N ! (feat. Bárbara Tinoco) [1].MP3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Papillon - ¡ N.M.N ! (feat. Bárbara Tinoco) [1].MP3,0.0,0.0,29.1,1.0,fundo da demo
Candidato a vereador.mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Candidato a vereador.mp3,25.5,173.7,3.6,1.0,vinheta dela sobre o cartao
