ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
1,f0348,foto,v3,2025_Pedido_casamento_clara_2.jpg,4.0,0.0,0.0,4.0,4.0,4.0,Zoom in,Natal de 2025,fundo,,,,
2,f0349,foto,v3,2025_Pedido_casamento_clara_3.jpg,3.6,0.7,3.3,6.9,2.9,2.2,Zoom in,,fundo,,,,
3,f0347,foto,v3,2025_Pedido_casamento_clara_1.jpg,4.4,0.7,6.2,10.6,3.7,3.0,Zoom in,,fundo,,,,
4,,contador,v3,,9.0,0.7,9.9,18.9,8.3,7.6,Zoom in,2026>1995|4 de outubro de 2026,fiel,,,,
5,f0012,foto,v3,1 (2).jpg,4.0,0,18.9,22.9,4.0,4.0,Zoom in,Clara,fundo,,,,
6,f0103,foto,v3,21-46.jpg,4.0,0.7,22.2,26.2,3.3,2.6,Zoom in,Tiago,fundo,,,,
7,,cartao,v3,,3.6,0.7,25.5,29.1,2.9,2.2,Zoom in,Era uma vez...,fiel,,,,
