ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
1,f0230,foto,v1c,9-25.jpg,4.2,0.0,0.0,4.2,4.2,4.2,Zoom in,Gostava dos bichinhos todos,fundo,,,,
2,f0298,foto,v1c,Scanner_20260814.jpg,4.5,0.7,3.5,8.0,3.8,3.1,Zoom in,E desde sempre apaixonada por caes,fundo,,,,
3,f0232,foto,v1c,9-27.JPG,4.2,0.7,7.3,11.5,3.5,2.8,Zoom in,Pelos dela...,fundo,,,,
4,f0233,foto,v1c,9-28.JPG,4.0,0,11.5,15.5,4.0,4.0,Zoom in,... e pelos dos outros,fundo,,,,
5,f0354,foto,v1c,2014_Clara_Tiago_Praia_Mia_cadela_clara.jpg,5.4,0.7,14.8,20.2,4.7,4.0,Zoom in,A Mia,fiel,,,,
6,f0146,foto,v1c,21-49-54.jpg,4.6,0.7,19.5,24.1,3.9,3.2,Zoom in,E com a Sky,fundo,,,,
7,f0145,foto,v1c,21-49-53.jpg,6.0,0.7,23.4,29.4,5.3,4.6,Zoom in,Com a mae e com a avo,fundo,,,,
