ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
110,f0023,foto,Familia,11-13.jpg,4.6,0.7,349.59,354.19,3.9,3.2,Zoom in,"-Clara, gostas dessa    canção do Ed Sheeran? -Gosto! -Então não a estragues...",fiel,9.0,-48.8,,
111,f0270,foto,Familia,IMG_4224.JPG,4.6,0.7,353.49,358.09,3.9,3.2,Nenhum,"O pai: -Clara, já vais outra vez em excesso                             de velocidade! O irmão: -Ela é uma Fora-da-Lei...",fiel,9.0,-48.8,,
112,f0024,foto,Familia,11-14.jpg,4.15,0.7,357.39,361.55,3.45,2.75,Zoom in,Com o mano  e a mãe,fiel,7.0,-40.7,,
113,f0025,foto,Familia,11-15.jpg,3.7,0.7,360.85,364.55,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
114,f0026,foto,Familia,11-20.jpg,4.15,0.7,363.85,368.0,3.45,2.75,Zoom in,E com o pai,fiel,7.0,-40.7,,
115,f0095,foto,Familia,21-45-2.jpg,4.15,0.7,367.3,371.45,3.45,2.75,Zoom in,Com os padrinhos de batismo  e de casamento,fiel,7.0,-40.7,,
116,f0097,foto,Familia,21-45-4.jpg,4.83,0.7,370.75,375.58,4.13,3.43,Nenhum,Com a família materna,fiel,10.0,-51.7,,
117,f0098,foto,Familia,21-45-5.JPG,4.83,0.7,374.88,379.71,4.13,3.43,Nenhum,,fiel,10.0,-51.7,,
118,f0096,foto,Familia,21-45-3.JPG,4.15,0.7,379.01,383.16,3.45,2.75,Zoom in,,fiel,7.0,-40.7,,
119,f0099,foto,Familia,21-45-6.jpg,4.83,0.7,382.46,387.29,4.13,3.43,Nenhum,Com a família paterna,fiel,10.0,-51.7,,
120,f0100,foto,Familia,21-45-8.jpg,4.83,0.7,386.59,391.42,4.13,3.43,Zoom in,No casamento do primo Filipe,fiel,10.0,-51.7,,
121,f0101,foto,Familia,21-45-9.jpg,4.83,0.7,390.72,395.55,4.13,3.43,Zoom in,No 99.º Aniversário da avó  Maria dos Anjos,fiel,10.0,-51.7,,
122,,cartao,Amigos e colegas,,3.7,0.7,394.85,398.55,3.0,2.3,,Amigos e colegas,fiel,5.0,-26.0,,
