ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota,textos_fotos,textos_opcoes
17,f0115,foto,"demo v3, o flash-forward",21-49-2.jpg,4.0,0.7,125.61,129.61,3.3,2.6,Zoom in,Sempre pronto para o café com leite com a sua avó Orquídea,fundo,,,,,,
18,f0125,foto,"demo v3, o flash-forward",21-49-3.jpg,4.0,0.7,128.91,132.91,3.3,2.6,Zoom in,Primeiro aniversário. O pai faz anos no mesmo dia.,fundo,,,,,,
19,f0537,foto,"demo v3, o flash-forward",IMG_20260209_184044.jpg,4.0,0.7,132.21,136.21,3.3,2.6,Zoom in,O estilo já lá estava,fundo,,,,,,
20,f0562,foto,"demo v3, o flash-forward",digitalizar0003 (1).jpg,4.0,0.7,135.51,139.51,3.3,2.6,Zoom in,,fundo,,,,,,
21,f0134,foto,"demo v3, o flash-forward",21-49-4.jpg,4.0,0.7,138.81,142.81,3.3,2.6,Zoom in,Segundo aniversário,rajada,,,,,,
22,f0106,foto,"demo v3, o flash-forward",21-49-10.jpg,4.0,0.7,142.11,146.11,3.3,2.6,Zoom in,,fundo,,,,,,
23,f0151,foto,"demo v3, o flash-forward",21-49-6.jpg,4.0,0.7,145.41,149.41,3.3,2.6,Zoom in,Em Portugal dos Pequeninos,fundo,,,,,,
24,f0564,foto,"demo v3, o flash-forward",digitalizar0004 (1).jpg,4.0,0.7,148.71,152.71,3.3,2.6,Zoom in,,fundo,,,,,,
25,f0565,foto,"demo v3, o flash-forward",digitalizar0005 (3).jpg,4.0,0.7,152.01,156.01,3.3,2.6,Zoom in,,fundo,,,,,,
26,f0346,foto,"demo v3, o flash-forward",IMG_20260209_172732.jpg,4.0,0.7,155.31,159.31,3.3,2.6,Zoom in,Com um família saída de um filme da Missão Impossível,fundo,,,,,,
27,,marcos,"demo v3, o flash-forward",,14.0,0.7,158.61,172.61,13.3,12.6,Nenhum,"1995@0.700237-0.895161|17/01 Terramoto em Kobe, Japão @kobe, japao.png;26/03 Abrem as fronteiras de Schengen @Schengen_Agreement_(1985)_signatures.jpg;24/08 Sai o Windows 95 @Windows95.jpeg;04/09 Nasce o SAPO, em Aveiro @sapo_42c89ed355959aa80b08ddd3b3b79ffc3555d337.jpg;*12/09 Nasce o Tiago;01/10 Guterres ganha as eleições @guterres.jpg;24/11 Salvam-se as gravuras do Côa @gravuras_coa.jpg;*24/11 Nasce a Clara",fiel,,,,,,
28,,cartao,"demo v3, o flash-forward",,6.15,0.7,171.91,178.06,5.45,4.75,Zoom in,"2 meses e 12 dias depois a poucos kms, nasce uma bebé ",fiel,,,,,,
29,f0012,foto,"demo v3, o flash-forward",1 (2).jpg,4.0,0.0,178.06,182.06,4.0,4.0,Zoom in,A Clara que era branquinha como o nome que lhe foi vaticinado,fundo,,,,,,
30,f0041,foto,"demo v3, o flash-forward",2.jpg,4.0,0.7,181.36,185.36,3.3,2.6,Zoom in,Era muito bem disposta...,fundo,,,,,,
31,f0169,foto,"demo v3, o flash-forward",5 (2).jpg,4.0,0.7,184.66,188.66,3.3,2.6,Zoom in,,fundo,,,,,,
32,f0172,foto,"demo v3, o flash-forward",6.jpg,4.0,0.7,187.96,191.96,3.3,2.6,Zoom in,Muito curiosa...,fundo,,,,,,
33,f0170,foto,"demo v3, o flash-forward",5-3.jpg,4.0,0.7,191.26,195.26,3.3,2.6,Zoom in,"Muito teimosa... (Dizia ""não se mexe"", e mexia...)",fundo,,,,,,
