ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota,textos_fotos,textos_opcoes
119,f0519,foto,"demo v3, o flash-forward",IMG-20231225-WA0001.jpg,4.0,0.7,473.56,477.56,3.3,2.6,Zoom in,,fundo,,,,,,
120,f0142,foto,"demo v3, o flash-forward",21-49-47.jpeg,4.0,0.7,476.86,480.86,3.3,2.6,Zoom in,,fundo,,,,,,
121,,cartao,"demo v3, o flash-forward",,3.6,0.7,480.16,483.76,2.9,2.2,Zoom in,Gosto pelo desporto,fiel,,,,,,
122,f0141,foto,"demo v3, o flash-forward",21-49-46.jpg,4.0,0.7,483.06,487.06,3.3,2.6,Zoom in,,fundo,,,,,,
123,f0447,foto,"demo v3, o flash-forward",bc66e4257dc1a51eb676bfe0d263d5db.jpg,4.0,0.7,486.36,490.36,3.3,2.6,Zoom in,,fundo,,,,,,
124,f0312,foto,"demo v3, o flash-forward",2016_tIAGO_ANDEBOL_FACULDADE.jpg,4.0,0.7,489.66,493.66,3.3,2.6,Zoom in,,fundo,,,,,,
125,f0278,foto,"demo v3, o flash-forward",IMG_4541.JPG,4.0,0.7,492.96,496.96,3.3,2.6,Zoom in,Sabia lá ele que ia acabar na mesma modalidade,fundo,,,,,,
126,f0439|f0140|f0539|f0544|f0527|f0526|f0370|f0256,pilha,"demo v3, o flash-forward",20231222_195654.jpg|21-49-45.jpeg|IMG_20260718_200954.jpg|IMG_20260906_114847.jpg|IMG-20240915-WA0007.jpeg|IMG-20240616-WA0009.jpg|465577778_18469984858036289_3599993957042226426_n.jpg|IMG-20260614-WA0013.jpg,9.4,0.7,496.26,505.66,8.7,8.0,Zoom in,,monte,,,,,"["""", """", """", """", ""Hiratação obrigatóra pós corrida"", """", """", """"]",
127,f0135,foto,"demo v3, o flash-forward",21-49-40.JPG,4.0,0.7,504.96,508.96,3.3,2.6,Zoom in,Até dança com o irmão...,rajada,,,,,,
128,f0136,foto,"demo v3, o flash-forward",21-49-41.JPG,4.0,0.7,508.26,512.26,3.3,2.6,Zoom in,...parece prometedor o resultado,rajada,,,,,,
129,,cartao,"demo v3, o flash-forward",,3.6,0.7,511.56,515.16,2.9,2.2,Zoom in,Viagens ,fiel,,,,,,
130,f0058|f0059|f0065|f0061|f0073|f0076|f0212|f0082,pilha,"demo v3, o flash-forward",21-11-2.JPG|21-11-3.jpg|21-17.JPG|21-12.JPG|21-25.JPG|21-29.jpeg|9-13.JPG|21-39.jpg,9.4,0.7,514.46,523.86,8.7,8.0,Zoom in,,leque,,,,,"[""Em Sintra / Em Setúbal"", ""Nos Açores"", ""No Parlamento de Budapeste"", ""Nos Açores"", ""Em Roma, espelho de rua."", """", ""Em barcelona"", """"]","{""tapadas"": ""fica""}"
131,f0217|f0066|f0040|f0070|f0068|f0069|f0085|f0272,pilha,"demo v3, o flash-forward",9-15.JPG|21-18.JPG|19-2.JPG|21-22.jpeg|21-20.JPG|21-21.JPG|21-41.JPG|IMG_4362.JPG,9.4,0.7,523.16,532.56,8.7,8.0,Zoom in,,leque,,,,,"[""No vulcão Etna (Sicília)."", ""Na Sicília. Siracusa."", """", ""No Castelo de Neuschwanstein;"", ""Na Alemanha. Em Dinkelsbuhl;"", ""Em Bratislava"", """", ""Em Frankfurt / Em Bratislava""]","{""tapadas"": ""fica""}"
132,f0268,foto,"demo v3, o flash-forward",IMG_3835.jpg,4.0,0.7,531.86,535.86,3.3,2.6,Zoom in,"Em Lanzarote, com Pilar del Río.",fundo,,,,,,
133,,contador,"demo v3, o flash-forward",,9.0,0.7,535.16,544.16,8.3,7.6,Nenhum,1995>2011,fiel,,,,,,
134,f0155,foto,"demo v3, o flash-forward",21-50.JPG,4.0,0.7,543.46,547.46,3.3,2.6,Zoom in,Na Escola Secundária em 2011,fundo,,,,,,
135,f0239,foto,"demo v3, o flash-forward",A Happy Year (16).jpg,4.0,0.7,546.76,550.76,3.3,2.6,Zoom in,,fundo,,,,,,
136,f0156,foto,"demo v3, o flash-forward",21-51.JPG,4.0,0.7,550.06,554.06,3.3,2.6,Zoom in,Na aula de Biologia,fundo,,,,,,
137,f0560,foto,"demo v3, o flash-forward",Campanha AE (6).JPG,4.0,0.7,553.36,557.36,3.3,2.6,Zoom in,,fundo,,,,,,
138,f0380,foto,"demo v3, o flash-forward",20180910_194232.jpg,4.0,0.7,556.66,560.66,3.3,2.6,Zoom in,,fundo,,,,,,
139,f0250,foto,"demo v3, o flash-forward",DSCN3008.JPG,4.0,0.7,559.96,563.96,3.3,2.6,Zoom in,,fundo,,,,,,
140,f0556,foto,"demo v3, o flash-forward",20170805175928.jpg,4.0,0.7,563.26,567.26,3.3,2.6,Zoom in,,fundo,,,,,,
141,f0327,foto,"demo v3, o flash-forward",2015_cLARA_E_TIAGO_30agosto.jpg,4.0,0.7,566.56,570.56,3.3,2.6,Zoom in,,fundo,,,,,,
142,f0584,foto,"demo v3, o flash-forward",DSCN8496.JPG,4.0,0.7,569.86,573.86,3.3,2.6,Zoom in,,fundo,,,,,,
143,f0354,foto,"demo v3, o flash-forward",2014_Clara_Tiago_Praia_Mia_cadela_clara.jpg,4.0,0.7,573.16,577.16,3.3,2.6,Zoom in,,fundo,,,,,,
144,f0387,foto,"demo v3, o flash-forward",20190628_152510.jpg,4.0,0.7,576.46,580.46,3.3,2.6,Zoom in,,fundo,,,,,,
145,f0389,foto,"demo v3, o flash-forward",20190630_160541.jpg,4.0,0.7,579.76,583.76,3.3,2.6,Zoom in,,fundo,,,,,,
146,f0453|f0166,lado,"demo v3, o flash-forward",DSC00187.JPG|30Abril18_125.jpg,5.0,0.7,583.06,588.06,4.3,3.6,Zoom in,,2v,,,,,"[""Baile Finalistas 12ºano (2013)"", ""Baile Finalistas FDUP (2018)""]",
147,f0413,foto,"demo v3, o flash-forward",20220103_155031.jpg,4.0,0.7,587.36,591.36,3.3,2.6,Zoom in,Logo após a compra da 1ª casa,fundo,,,,,,
148,f0329,foto,"demo v3, o flash-forward",2018_cLARA_E_TIAGO_PASSEIO.jpg,4.0,0.7,590.66,594.66,3.3,2.6,Zoom in,,fundo,,,,,,
149,f0271,foto,"demo v3, o flash-forward",IMG_4277 (3) (1).jpg,4.0,0.7,593.96,597.96,3.3,2.6,Zoom in,,fundo,,,,,,
150,f0275,foto,"demo v3, o flash-forward",IMG_4490 (16).jpg,4.0,0.7,597.26,601.26,3.3,2.6,Zoom in,,fundo,,,,,,
151,f0281,foto,"demo v3, o flash-forward",IMG_4751.JPG,4.0,0.7,600.56,604.56,3.3,2.6,Zoom in,,fundo,,,,,,
152,f0286,foto,"demo v3, o flash-forward",IMG_8145.jpeg,4.0,0.7,603.86,607.86,3.3,2.6,Zoom in,,fundo,,,,,,
153,f0291,foto,"demo v3, o flash-forward",IMG_9062.jpeg,4.0,0.7,607.16,611.16,3.3,2.6,Zoom in,,fundo,,,,,,
154,f0297,foto,"demo v3, o flash-forward",Scanner_20260606 (17).jpg,4.0,0.7,610.46,614.46,3.3,2.6,Zoom in,,fundo,,,,,,
155,f0328|f0481|f0480|f0482|f0494|f0412,pilha,"demo v3, o flash-forward",2016_Clara_TIAGO_pRIMEIRA_VIAGEM_PENICHE.jpg|IMG-20181006-WA0012.jpg|IMG-20181006-WA0010.jpg|IMG-20181006-WA0013.jpg|IMG-20191116-WA0003.jpg|20210730_145624.jpg,13.0,0.7,613.76,626.76,12.3,11.6,Zoom in,,monte,,,,,,
156,f0430|f0416|f0427|f0431|f0443|f0330|f0515|f0331,pilha,"demo v3, o flash-forward",20220521_130954.jpg|20220515_184204.jpg|20220520_135148.jpg|20220521_185833.jpg|20240728_194710.jpg|20230726_131448_Nice_2023.jpg|IMG-20230727-WA0003.jpg|IMG_20250319_131901.jpg,19.0,0.7,626.06,645.06,18.3,17.6,Zoom in,,monte,,,,,,
157,f0194,foto,"demo v3, o flash-forward",82-27.jpeg,4.0,0.7,644.36,648.36,3.3,2.6,Zoom in,,fundo,,,,,,
